,qc,fs,u2,GGM,$q_c$,$f_s$,$u_2$
count,,,,252.0,252.0,252.0,252.0
mean,,,,1.0,0.0011336564693449735,0.059586419090551325,0.07485038148566264
std,,,,0.0,0.0005455971233698279,0.00020143566360452978,0.0004638291195075476
min,,,,1.0,0.00022023100559846726,0.059113448534936136,0.07399538388640081
25%,,,,1.0,0.0007917165264552494,0.0594740796393689,0.07462207480549654
50%,,,,1.0,0.0010844286225038453,0.05959429000751315,0.07477492624917842
75%,,,,1.0,0.0015931901227787856,0.059684447783621336,0.075065343992174
max,,,,1.0,0.001990442253130451,0.05998497370398197,0.075875456643688
count,,,,4102.0,4102.0,4102.0,4102.0
mean,,,,2.0,0.016869246626342135,0.06420288649944815,0.07526203123262512
std,,,,0.0,0.02024712992312549,0.006859899472591474,0.0014965806438884998
min,,,,2.0,0.0004293110742046072,0.05905334335086401,0.07184017853048622
25%,,,,2.0,0.0016001594583989903,0.059654395191585274,0.07433165706250096
50%,,,,2.0,0.005482079398852987,0.06001502629601803,0.07492777769286031
75%,,,,2.0,0.030840007052967647,0.06665664913598798,0.07618115953105177
max,,,,2.0,0.062087023306155245,0.08030052592036063,0.079360469559635
count,,,,8550.0,8550.0,8550.0,8550.0
mean,,,,3.0,0.017436513132651273,0.06713503016243338,0.0769122721206207
std,,,,0.0,0.013331743125865304,0.004863712711447764,0.00248320611735765
min,,,,3.0,0.0016663681467909343,0.05962434259954921,0.06898185653363496
25%,,,,3.0,0.006266129656126011,0.06341096919609317,0.07555446861195604
50%,,,,3.0,0.012855636485029518,0.06620586025544703,0.07735811564740229
75%,,,,3.0,0.0280836348151767,0.07077385424492863,0.078550356908121
max,,,,3.0,0.04730506245570116,0.07924868519909842,0.08426700090182351
count,,,,145352.0,145352.0,145352.0,145352.0
mean,,,,4.0,0.1805951496857236,0.11253669250044422,0.08108453713968587
std,,,,0.0,0.06810175055336551,0.016718770206341837,0.005624578726682067
min,,,,4.0,0.0019346875681688137,0.06007513148009016,0.04412821179096037
25%,,,,4.0,0.12384230623678875,0.10157776108189331,0.07725111963682497
50%,,,,4.0,0.17588233531285694,0.11459053343350864,0.07997187533436254
75%,,,,4.0,0.23135824684968603,0.1234259954921112,0.08406829402503707
max,,,,4.0,0.3453417309181333,0.15708489857250188,0.09556272258991486
count,,,,8740.0,8740.0,8740.0,8740.0
mean,,,,5.0,0.08065160621520502,0.10463698428772092,0.12498782172736751
std,,,,0.0,0.08073359860510118,0.022486644219136546,0.04339972598169743
min,,,,5.0,0.016019714856602436,0.08216378662659654,0.057365146813811656
25%,,,,5.0,0.019309241269339035,0.0867618332081142,0.08105712058450391
50%,,,,5.0,0.024466549628290486,0.09287753568745305,0.12680555767849228
75%,,,,5.0,0.16406234210098986,0.11987978963185575,0.1634746190177766
max,,,,5.0,0.2638214121685994,0.16958677685950413,0.21808843984531434
count,,,,1830.0,1830.0,1830.0,1830.0
mean,,,,6.0,0.025382647849475727,0.08691620171365463,0.17441310265962348
std,,,,0.0,0.018484940496346622,0.010792348533911677,0.024645458274234314
min,,,,6.0,0.015587616048149747,0.047903831705484595,0.09024349234978524
25%,,,,6.0,0.01693966715846945,0.08462809917355371,0.16983323907494305
50%,,,,6.0,0.017887496802817284,0.08754320060105183,0.17811778732250128
75%,,,,6.0,0.024438672285809666,0.08829451540195342,0.19106430460235696
max,,,,6.0,0.10976424828397532,0.11741547708489858,0.20740412393195054
count,,,,45552.0,45552.0,45552.0,45552.0
mean,,,,8.0,0.23389065023404151,0.15280509727639804,0.08282549152543975
std,,,,0.0,0.07855709853728879,0.039065210725934836,0.005056820877029705
min,,,,8.0,0.08780387174471044,0.0827648384673178,0.030539718447640737
25%,,,,8.0,0.17979910193141196,0.12318557475582267,0.0814851046268132
50%,,,,8.0,0.21755896232168082,0.14106686701728022,0.0838848722926188
75%,,,,8.0,0.2786591277040151,0.18067618332081142,0.08547452730691041
